HFP-CNN,HFP-RET,HFP-FXN,HFP-WSJ,NYT-CNN,NYT-RET,NYT-FXN,NYT-WSJ,CNN-HFP,CNN-NYT,CNN-FXN,CNN-WSJ,RET-HFP,RET-NYT,RET-FXN,RET-WSJ,FXN-HFP,FXN-NYT,FXN-CNN,FXN-RET,WSJ-HFP,WSJ-NYT,WSJ-CNN,WSJ-RET
,,,,,,,,,,,,,,,,,,,,,,,
0.6069036428637087,0.3244146117581762,0.5951467727590909,0.8780433251664161,0.14074149468749209,0.03283413953672554,0.9918167419906373,0.9313868522671348,0.6069036428637087,0.14074149468749209,0.178021938461271,0.7075197642831267,0.3244146117581762,0.03283413953672554,0.05134992005388095,0.5703897809374452,0.5951467727590909,0.9918167419906373,0.178021938461271,0.05134992005388095,0.8780433251664161,0.9313868522671348,0.7075197642831267,0.570389780937445
0.25281215240580823,0.46137301144027365,0.19363608383157616,0.808601688753374,0.002206210770752781,0.009983601065306047,0.01046325649806279,0.6318804636765194,0.25281215240580823,0.002206210770752781,0.3697549720490204,0.930564102025485,0.0004280799782423461,0.03141950975967034,2.7755575615628914e-15,0.7694884294093891,0.22814543206936644,0.9937631717235574,0.00011564140917541543,7.264564505504723e-10,0.3884235455235161,0.9961421756956857,0.029641162278816524,0.7694884294093891
0.20196449002913885,0.6067157777238879,0.14127401564233255,0.8743843902875217,0.00015447195197770824,0.006188509226388361,0.0010334533644231758,0.65854596360444,0.20196449002913885,0.00015447195197770824,0.5528443483045233,0.9860887981999954,0.0007909892463827672,0.005889330653062297,1.4210854715202004e-14,0.8896553786695901,0.09701284718620529,0.03047949718917231,0.00032259204935580765,4.5648829161137883e-10,0.4750251292923585,0.8233183422917112,0.06709269761234826,0.8896553786695901
0.1939396288061238,0.7243214230201285,0.12750090198888553,0.9228885681021308,2.6872897465723966e-05,0.005158616285999562,0.00022306414508710404,0.7073523734075517,0.1939396288061238,2.6872897465723966e-05,0.7024961728648977,0.9975315105645619,0.0014040561551096342,0.00221137319823117,6.084022174945858e-14,0.9495014810093648,0.05468801060071993,0.0028879481443701005,0.000693992490845674,3.7344405345862697e-10,0.5592479344185708,0.8025668042864437,0.12316096841895552,0.9495014810093648
0.20393360740207345,0.814979384209683,0.13651669853546533,0.9550475028696256,8.329239099769126e-06,0.005136859275096661,9.232317969476433e-05,0.7603026405848134,0.20393360740207322,8.329239099769126e-06,0.8191120223815169,0.9996028597509302,0.0024205736106852616,0.0012489210102705206,2.433608869978343e-13,0.9779740323207061,0.0419190726797376,0.0005142763905693348,0.0014116124688920983,3.218837418828002e-10,0.6394942254702846,0.8161946879564358,0.19715064372897184,0.9779740323207061
0.22500131044756078,0.8810629681849506,0.14589227393235582,0.9749835037506951,3.827999590977349e-06,0.005712525501242349,4.525198982163747e-05,0.8106962374054779,0.22500131044756078,3.827999590977349e-06,0.8927025801528679,0.9999411424194112,0.0037433587640712807,0.0008426358597818373,8.778533455711113e-13,0.9908362454496596,0.03751239610978396,0.000149037899945359,0.002669003733484554,3.291921180093027e-10,0.7065062849705575,0.8388886113019831,0.283097107418796,0.9908362454496596
0.04031143333720211,0.9112507260768986,0.04436685411196728,0.8204495262786882,1.4399370584783355e-11,0.0007472017004295228,3.48506778991009e-11,0.8679666645386177,0.047793160360158016,2.3200318322036395e-07,0.07732074605579098,0.9729198912724442,0.006151133502712902,0.0007472017004295228,2.7945423752839815e-12,0.9963557953353003,0.037146599427039906,6.12179887177211e-05,0.004754007391337689,3.8193270768260845e-10,0.7726852736870651,0.8679666645386177,0.38043624108615126,0.9963557953353003
0.054562266810317506,0.18462199758282216,0.009112151609718677,0.8453102954592272,0.0,0.0011937702576808595,0.0,0.8857209584579875,0.01587515835034392,2.1027772911796916e-07,0.0822842169412088,0.8540987075156748,0.0017579186048771733,0.0011937702576808595,0.0,0.9974322798264253,0.037802265909848365,0.00013167893048737778,0.00044714662260503246,9.892087149410145e-14,0.825956466282537,0.9224143351584866,0.40399168442445454,0.6744155696953332
0.0064768206914720405,0.2535127795830461,0.0008567084390560531,0.7442617318665852,0.0,0.001868400525673941,0.0,0.9037856844599151,0.0042321117287416055,2.221850714523299e-08,0.00454381484385058,0.7882846566703907,0.0005916585965423105,0.001868400525673941,0.0,0.9983216992160514,0.03534325972436336,0.0002551462018685058,4.625666852475785e-05,0.0,0.03885129429749734,0.6911971449500692,0.23849001216848253,0.3568207881285441
0.0008665399155818321,0.3306295493502852,9.430386362530019e-05,0.6552585267041331,0.0,0.0004363912292797423,0.0,0.6783093465848489,0.0012366654181377168,2.8521791595181867e-09,0.0002478263716008122,0.7315183941910995,0.0007916098295276397,0.0004363912292797423,0.0,0.9754187965387238,0.034374119812448534,0.0004716061978444763,6.183012287386269e-06,0.0,0.06000512950785786,0.7148057706623387,0.2517401730783626,0.4044314249601906
0.0013421995119696772,0.09615393098317981,7.858175354358288e-05,0.7364852831924675,0.0,2.6447666279239e-10,0.0,0.7582081850592121,0.0003952874087442826,4.361606631420045e-10,1.4962761234915689e-05,0.6836815252016657,0.0014050378471303082,0.0004096439989410561,0.0,0.9332110208304929,0.034514165822391196,0.000835721843437498,1.0401229666445744e-06,0.0,0.08812904092512974,0.7404554948999427,0.2684053149237766,0.45356796537918864
