obama,bush,united_states,Germany,France
,,,,
0.24695772110606173,0.019759864529163673,0.5951467727590909,0.9950082799552137,0.8730607466882387
0.4163255397308685,0.05384166036799509,0.19363608383157616,0.37377644728041026,0.07342364875870866
0.587099562706616,0.002393824976481551,0.14127401564233255,0.4213654615743204,0.05669615011865381
0.7265655971119465,0.0003090934806255774,0.12750090198888553,0.48608328000947343,0.062063796581258046
0.8299070438824312,7.254281421031905e-05,0.13651669853546533,0.41082952252251603,0.10508442784530825
0.9034584683558247,2.5151885769014726e-05,0.14589227393235582,0.3762568469677563,0.1613729338921689
0.9481850987147218,1.1480909138605888e-05,0.04436685411196728,0.48874272346976877,0.22969036111811825
0.48602160942206607,1.0169982591512472e-05,0.009112151609718677,0.5059742757442749,0.11332441610860478
0.4958399265983946,5.802267461163524e-06,0.0008567084390560531,0.27538127872979556,0.14644653779180672
0.43565141406643915,7.109972198771075e-07,9.430386362530019e-05,0.23412269063656665,0.0889586038122342
0.37083208642772525,8.829181772362915e-07,7.858175354358288e-05,0.2461479749955917,0.06124478636133612
0.4420135463867604,1.127254895427754e-06,9.261920975944804e-06,0.31397892102616776,0.04662263295574376
0.5074177669724711,1.4952065754414434e-06,6.3333341581151e-06,0.3270324541370401,0.03844958499252171
0.5710277010725529,1.924115173856933e-06,4.6742453251313876e-06,0.34312467271754654,0.02204835818891626
