,united_states.n.01,united_states_government.n.01,congress.n.01,congress.n.02,congress.n.03,sexual_intercourse.n.01,white_house.n.01,white_house.n.02,america.n.02,department_of_state.n.01,clinton.n.02,new_york.n.01,minnesota.n.01,new_world_oriole.n.01,old_world_oriole.n.01,afghanistan.n.01,backpacker.n.01,indiana.n.01,new_york.n.02,united_states_house_of_representatives.n.01
RM_2011_news_CNN.sqlite,1.4736792251581705,0.01289950372566839,0.10804765638778678,0.3112718526293495,0.3112718526293495,0.3112718526293495,2.613621821133817,2.613621821133817,2.6345882299377306,13.369492018322473,,,,,,,,,,
RM_2011_news_CTB.sqlite,0.826946706944996,1.5726653887175208,0.1855772779503726,0.16775540991536944,0.16775540991536944,0.16775540991536944,0.08364487358520938,0.08364487358520938,0.02063473017056021,7.643925948493355,,,,,,,,,,
RM_2011_news_FXN.sqlite,3.435182023251368,1.6803257590083627,1.2574540699129721,1.058939472579966,1.058939472579966,1.058939472579966,0.1726108260775622,0.1726108260775622,1.2042016332984466,0.338879362546144,,,,,,,,,,
RM_2011_news_HFP.sqlite,0.06359887907672622,1.9543318243748895,0.3366596780219405,0.3221812194604717,0.3221812194604717,0.3221812194604717,2.2789777530715982,2.2789777530715982,3.398160122718009,1.6064807016416431,,,,,,,,,,
RM_2011_news_NBC.sqlite,1.2718752714796258,2.607650063034863,1.3095981570773672,1.3015605029933073,1.3015605029933073,1.3015605029933073,0.8113694257533893,0.8113694257533893,0.04779052562384451,0.03275038530947265,,,,,,,,,,
RM_2011_news_NYT.sqlite,77.74567186279162,210.1062139643854,21.01087315258241,21.868017840975817,21.868017840975817,21.868017840975817,0.12182718666995966,0.12182718666995966,30.548508783641825,43.661490082167504,,,,,,,,,,
RM_2011_news_RET.sqlite,54.68961790466865,255.16914615143156,11.571577943862984,12.934041336649052,12.934041336649052,12.934041336649052,6.20373587505977,6.20373587505977,80.17557328894058,5.257630166504153,,,,,,,,,,
RM_2011_news_WPO.sqlite,12.260299549688956,29.98295600605975,3.3126802795566874,3.726134648757588,3.726134648757588,3.726134648757588,3.1900467168109734,3.1900467168109734,2.0933243958700216,7.745534767358955,,,,,,,,,,
RM_2011_news_WSJ.sqlite,5.516071936013327,12.390648484187125,1.4636915229192995,1.4151326631150973,1.4151326631150973,1.4151326631150973,0.024361272221324056,0.024361272221324056,0.9557311467878135,3.6095163755967756,,,,,,,,,,
RM_2011_news_CNN.sqlite,2.3394833333819567,0.12864632117232355,0.010389051282419244,0.11154118837210746,0.11154118837210746,0.11154118837210746,2.0320265183810884,2.0320265183810884,3.288302337219259,,0.05356961123564529,,,,,,,,,
RM_2011_news_CTB.sqlite,0.1384913668088982,0.6466015541040696,0.6428657927514864,0.6092461971188067,0.6092461971188067,0.6092461971188067,0.0047144362326776625,0.0047144362326776625,0.022842705497473918,,35.890739597517026,,,,,,,,,
RM_2011_news_FXN.sqlite,4.082408300114653,2.045792522999659,1.0015681252017234,0.8253249523136835,0.8253249523136835,0.8253249523136835,0.09300743890609672,0.09300743890609672,1.423308809848995,,5.5398255404747,,,,,,,,,
RM_2011_news_HFP.sqlite,0.028861828744396353,2.1380879376662385,0.411904223695982,0.39574097965275484,0.39574097965275484,0.39574097965275484,2.1065713436415816,2.1065713436415816,3.219087749736459,,0.13083771280469322,,,,,,,,,
RM_2011_news_NBC.sqlite,1.1648835069269161,2.4617521106540563,1.3502255144990458,1.3420141279228417,1.3420141279228417,1.3420141279228417,0.750388423648571,0.750388423648571,0.05666430698404717,,0.22607860910262914,,,,,,,,,
RM_2011_news_NYT.sqlite,72.70624971243394,204.6588158209826,23.746160004940304,24.65740538152798,24.65740538152798,24.65740538152798,0.34510720708233517,0.34510720708233517,33.147152137719246,,13.32196378951141,,,,,,,,,
RM_2011_news_RET.sqlite,55.03626373464409,255.86618108518644,11.468945225409254,12.826156731672691,12.826156731672691,12.826156731672691,6.134997613993207,6.134997613993207,80.00571192531176,,16.725242288028863,,,,,,,,,
RM_2011_news_WPO.sqlite,14.565418882645426,32.686790746071935,2.4344946605776583,2.7906175683629435,2.7906175683629435,2.7906175683629435,2.4044456609496545,2.4044456609496545,1.5648869400942302,,5.167974246225165,,,,,,,,,
RM_2011_news_WSJ.sqlite,4.622727412728929,11.168643122658274,1.7618122598822625,1.7084260486192941,1.7084260486192941,1.7084260486192941,0.07438798876311742,0.07438798876311742,1.1348701367593157,,0.23896030072827845,,,,,,,,,
RM_2011_news_CNN.sqlite,2.638591058863059,0.1868920105293568,0.0011425845336804927,0.07113489113716999,0.07113489113716999,0.07113489113716999,1.8716700942725675,1.8716700942725675,3.4989638079715784,,,1.1711601613125167,,,,,,,,
RM_2011_news_CTB.sqlite,0.3948688272841762,1.0376630710790944,0.39022404716619163,0.36415698326093965,0.36415698326093965,0.36415698326093965,0.010420620813600047,0.010420620813600047,0.00010986599314903353,,,0.2927428116387513,,,,,,,,
RM_2011_news_FXN.sqlite,4.966263897802671,2.551032674034725,0.7236538509788318,0.5751311714295807,0.5751311714295807,0.5751311714295807,0.028027972912621203,0.028027972912621203,1.721690654442883,,,11.514899576368451,,,,,,,,
RM_2011_news_HFP.sqlite,0.007784014505564128,2.767991754111051,0.6970855136073116,0.6754712041953871,0.6754712041953871,0.6754712041953871,1.6098754154271815,1.6098754154271815,2.6889674525754965,,,6.5240405237937225,,,,,,,,
